ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root      1171  1001  0 01:36 ?        00:00:00 lightdm --session-child 12 19
root      1196     1  0 01:36 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
rtkit     1239     1  0 01:36 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root      1261     1  0 01:36 ?        00:00:00 /usr/lib/upower/upowerd
huy       1320     1  0 01:36 ?        00:00:00 /lib/systemd/systemd --user
huy       1321  1320  0 01:36 ?        00:00:00 (sd-pam)
huy       1327     1  0 01:36 ?        00:00:00 /usr/bin/gnome-keyring-daemon --
huy       1329  1171  0 01:36 ?        00:00:00 /sbin/upstart --user
root      1397   884  0 01:36 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/li
nobody    1417   884  0 01:36 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --
huy       1613  1329  0 01:36 ?        00:00:00 upstart-udev-bridge --daemon --u
huy       1615  1329  0 01:36 ?        00:00:01 dbus-daemon --fork --session --a
huy       1627  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/wi
huy       1650  1329  0 01:36 ?        00:00:00 /usr/bin/ibus-daemon --daemonize
huy       1672  1329  0 01:36 ?        00:00:00 upstart-dbus-bridge --daemon --s
huy       1674  1329  0 01:36 ?        00:00:00 upstart-dbus-bridge --daemon --s
huy       1678  1329  0 01:36 ?        00:00:00 upstart-file-bridge --daemon --u
huy       1683  1329  0 01:36 ?        00:00:00 gpg-agent --homedir /home/huy/.g
huy       1687  1329  0 01:36 ?        00:00:00 /usr/lib/gvfs/gvfsd
huy       1692  1329  0 01:36 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/us
huy       1701  1650  0 01:36 ?        00:00:00 /usr/lib/ibus/ibus-dconf
huy       1702  1650  0 01:36 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
huy       1704  1329  0 01:36 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-da
huy       1719  1329  0 01:36 ?        00:00:00 /usr/lib/unity-settings-daemon/u
huy       1720  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/b
huy       1725  1329  0 01:36 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus
huy       1726  1329  0 01:36 ?        00:00:00 /usr/lib/gnome-session/gnome-ses
huy       1732  1725  0 01:36 ?        00:00:00 /usr/bin/dbus-daemon --config-fi
huy       1733  1329  0 01:36 ?        00:00:01 /usr/lib/x86_64-linux-gnu/unity/
huy       1739  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hu
huy       1748  1329  0 01:36 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-re
huy       1778  1650  0 01:36 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
huy       1790  1329  0 01:36 ?        00:00:00 /usr/lib/dconf/dconf-service
root      1794     2  0 01:36 ?        00:00:00 [kworker/u9:0]
root      1795     2  0 01:36 ?        00:00:00 [hci0]
root      1796     2  0 01:36 ?        00:00:00 [hci0]
root      1797     2  0 01:36 ?        00:00:00 [kworker/u9:1]
root      1828     2  0 01:36 ?        00:00:00 [krfcommd]
colord    1843     1  0 01:36 ?        00:00:00 /usr/lib/colord/colord
huy       1847  1329  0 01:36 ?        00:00:00 /usr/bin/pulseaudio --start --lo
huy       1849  1329  1 01:36 ?        00:00:35 compiz
huy       1854  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1855  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1858  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1860  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1862  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1869  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1870  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1871  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1900  1329  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indica
huy       1926  1719  0 01:36 ?        00:00:00 syndaemon -i 1.0 -t -K -R
huy       1928  1329  0 01:36 ?        00:00:00 /usr/lib/evolution/evolution-sou
huy       1931  1726  0 01:36 ?        00:00:06 nautilus -n
huy       1935  1726  0 01:36 ?        00:00:04 nm-applet
huy       1937  1726  0 01:36 ?        00:00:00 /usr/lib/unity-settings-daemon/u
huy       1950  1726  0 01:36 ?        00:00:03 /usr/bin/gnome-software --gappli
huy       1959  1726  0 01:36 ?        00:00:00 /usr/lib/policykit-1-gnome/polki
huy       1974  1329  0 01:36 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volum
root      1977     1  0 01:36 ?        00:00:00 /usr/lib/udisks2/udisksd --no-de
huy       1989  1329  0 01:36 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-mo
huy       1996  1329  0 01:36 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-mo
